,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
42,0e5PAxSyZ5DWWVqKANHETz,Brandi Carlile;Lucius,Country Car Hits,You and Me on the Rock,0,230098,FALSE,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
43,1MLr9b1fOybO3MGiLy47Ys,Brandi Carlile;Lucius,Country Road Songs,You and Me on the Rock,0,230098,FALSE,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
44,6JGjevTaqr9J1xp7YvYUKF,Brandi Carlile,Finest Country,"Speak Your Mind (From the Netflix Series ""We The People"")",0,193943,FALSE,0.476,0.666,6,-3.438,1,0.0446,0.314,0,0.342,0.498,148.155,4,acoustic
45,7Af2YlwMZryKOQiRfwMsD2,Brandi Carlile;Lucius,Easy Country,You and Me on the Rock,0,230098,FALSE,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
46,3RE5nHIVkC4KcA7snFaTKd,Brandi Carlile;Lucius,Cozy Country,You and Me on the Rock,0,230098,FALSE,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
47,0JvkNRyq8Tmot9khpdtN0I,Brandi Carlile;Lucius,Good Times Country,You and Me on the Rock,0,230098,FALSE,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
48,27gHtbsHClwimHFtKgFop4,Brandi Carlile;Lucius,Laidback Country,You and Me on the Rock,0,230098,FALSE,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
49,1QBNBGeIRRGBnLhdlHbfI8,Brandi Carlile;Lucius,Chillin' It - Mellow Day Country,You and Me on the Rock,0,230098,FALSE,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
50,72xTsTouZ5nBmASX8k1XCW,Highland Peak,Trampoline (Acoustic),Trampoline - Acoustic,46,213098,FALSE,0.596,0.2,0,-10.424,0,0.0305,0.91,0.000183,0.0884,0.308,107.893,4,acoustic
1001,4Ds4bq6aqOSAp1T7DikOi4,Criolo,Ainda Há Tempo,Ainda Há Tempo,44,318360,FALSE,0.58,0.8,-7.528,1,0.345,0.281,0,0.0708,0.483,81.303,4,afrobeat,
1002,7nYbKsvhM88mHCmFsAIQVp,Criolo,Fellini,Fellini,42,171989,FALSE,0.805,0.746,-5.211,0,0.185,0.238,0,0.215,0.717,127.922,4,afrobeat,
1003,7gVNP7rI9UBZndge0ulKfL,Criolo,Nó na Orelha,Lion Man,46,205440,FALSE,0.582,0.66,-4.988,0,0.0544,0.399,0,0.127,0.484,83.789,4,afrobeat,
1004,1hLvWelTny8vttEEZIXVjw,Criolo,Espiral de Ilusão,Espiral de Ilusão,44,220800,FALSE,0.776,0.314,-9.513,1,0.034,0.881,0.000723,0.139,0.476,124.055,4,afrobeat,
1005,660JNfrBV1K41iYGOh7ClC,Criolo,Sobre Viver,Yemanjá Chegou,43,258359,FALSE,0.711,0.515,-8.238,0,0.0514,0.679,0.000324,0.0971,0.679,90.91,4,afrobeat,
1006,0tsjEf663ZNWGlIqY2c0Ms,Criolo;Rael,Ainda Há Tempo,Tô Pra Ver,41,254520,FALSE,0.637,0.818,-6.851,1,0.281,0.19,0,0.102,0.599,90.571,4,afrobeat,
1007,1Vc0GbabaIukvQZeQTrNQc,BaianaSystem,Terapia,Terapia,39,261400,FALSE,0.79,0.814,-6.358,0,0.0268,0.243,0.0102,0.528,0.914,124.03,4,afrobeat,
1008,1bBO92RtVTlJlfxuVaLek8,Plastilina Mosh,Hola Chicuelos,Aló,40,244933,FALSE,0.797,0.609,-10.537,1,0.131,0.00375,0.0191,0.128,0.913,142.035,4,afrobeat,
1009,00LmM2QLGpfb5NC7PC7qqZ,Criolo,Ainda Há Tempo,Vasilhame,43,172440,FALSE,0.506,0.876,-5.877,0,0.316,0.194,1.86E-06,0.353,0.676,124.218,5,afrobeat,
1010,0pY5jjQucjJg3pqAbHhGkW,Criolo,Nó na Orelha,Sucrilhos,46,240226,FALSE,0.788,0.574,-9.068,1,0.319,0.0626,0,0.203,0.764,160.027,4,afrobeat,
1011,3ARDVYRmYJx1FrvR9Zlwp2,Criolo,Ainda Há Tempo,Chuva Ácida,39,180000,FALSE,0.708,0.782,-6.419,1,0.284,0.0507,0,0.251,0.717,94.038,4,afrobeat,
1012,0J4hFHpfCAlJOdrtcm04vz,Criolo,Ainda Há Tempo,Breaco,40,177240,FALSE,0.619,0.781,-6.548,1,0.333,0.148,0,0.183,0.728,182.026,4,afrobeat,
1013,3BGxXQJWeLAEcwNKRFUxYA,BaianaSystem;BNegão,ATO 1: Navio Pirata,Reza Forte,38,232826,FALSE,0.844,0.915,-4.06,0,0.129,0.393,0.00238,0.0847,0.872,145.997,4,afrobeat,
1014,7cAxwshLN1yidrBlDePrYW,Criolo,Ainda Há Tempo,É o Teste,41,279720,FALSE,0.66,0.728,-6.177,0,0.337,0.178,0,0.0516,0.594,91.101,4,afrobeat,
1015,0VSuq0KNSy1nOBO47e1bCN,Criolo;MC Hariel;Liniker;Maria Vilani;Jaques Morelenbaum,Sobre Viver,Pequenina,42,273973,FALSE,0.606,0.6,-7.785,1,0.139,0.0469,0,0.327,0.529,159.971,4,afrobeat,
1016,0fAmpdONIYsxiP27CwnzLJ,Jorge Drexler;Sebastián Prada,Milonga de Ojos Dorados (Alfredo Zitarrosa) [Live on Pardelion Music],Milonga de Ojos Dorados (Alfredo Zitarrosa) - Live on Pardelion Music,38,161342,FALSE,0.67,0.273,-10.77,1,0.0388,0.946,0.00136,0.179,0.443,128.87,4,afrobeat,
1017,1SV0orNlJMONEKfQ9QEUrh,Criolo,Ainda Há Tempo,Até Me Emocionei,38,175800,FALSE,0.772,0.789,-7.159,0,0.298,0.101,0,0.0575,0.549,84.96,4,afrobeat,
1018,3KYbhVPCxYHIeZg8Zy07ay,Criolo;Emicida;Mano Brown,Criolo E Emicida Ao Vivo (Live),Vida Loka I - Live,44,271840,FALSE,0.434,0.877,-5.945,0,0.247,0.849,0,0.653,0.662,82.109,4,afrobeat,
1019,1YuVO6AipAn5U1VoG1RBGN,Criolo,Ainda Há Tempo,Demorô,37,138480,FALSE,0.755,0.709,-5.066,0,0.289,0.0528,0,0.0825,0.657,140.989,4,afrobeat,
1020,3j0d73FhRaRKlasGXXKZMu,BaianaSystem;Liz Reis,OXEAXEEXU,Guerra Batalha,36,146000,FALSE,0.437,0.357,-7.6,0,0.0294,0.676,1.11E-06,0.118,0.26,120.088,4,afrobeat,
1021,0mW4qfi2vus7qErr9jAeFJ,BaianaSystem,Duas Cidades,Duas Cidades,44,226040,FALSE,0.789,0.899,-6.363,1,0.138,0.125,0,0.103,0.847,97.999,4,afrobeat,
1022,3hhC43A13GnvLnvhSXemhN,Criolo,Nó na Orelha,Mariô,41,217400,FALSE,0.763,0.577,-7.085,0,0.125,0.0875,0.00163,0.101,0.658,90.015,4,afrobeat,
1023,4dr8LN0s4WhnLLTzfsZkj5,Criolo;Emicida;Evandro Fióti,Criolo E Emicida Ao Vivo (Live),Só Mais Uma Noite - Live,37,188666,FALSE,0.518,0.918,-5.548,0,0.276,0.325,0,0.79,0.62,98.777,4,afrobeat,
1024,098WwIoAtjDQwcpuEHAlrr,Criolo,Sobre Viver,Pretos Ganhando Dinheiro Incomoda Demais,48,198920,FALSE,0.637,0.715,-7.032,0,0.074,0.0518,4.65E-05,0.122,0.347,109.859,4,afrobeat,
1025,3AJ0MFDt4OSknQ5D9Jlo4l,Criolo,Nó na Orelha,Samba Sambei,37,222560,FALSE,0.87,0.737,-8.372,1,0.126,0.268,0.00369,0.0504,0.952,136.07,4,afrobeat,
1026,02HQGyk9aGfleS1epTFtnJ,Juanafé,La Makinita,La Makinita,42,226648,FALSE,0.633,0.805,-5.523,0,0.0329,0.0529,0,0.146,0.925,143.028,4,afrobeat,
1027,39tI78Hw9SxwaHh32EZW5o,Criolo;Milton Nascimento,Sobre Viver,Me Corte na Boca do Céu a Morte Não Pede Perdão,44,257146,FALSE,0.428,0.3,-10.214,0,0.157,0.638,5.18E-05,0.0987,0.278,81.403,4,afrobeat,
1028,633yLLOTvQTEdvDD4XVnsw,Criolo,Espiral de Ilusão,Menino Mimado,44,227640,FALSE,0.83,0.604,-5.25,0,0.0355,0.563,0.00108,0.221,0.82,144.008,4,afrobeat,
1029,31RfYWiC3WcExsZtqDMvdS,Criolo,Sobre Viver,Aprendendo a Sobreviver,41,212826,FALSE,0.817,0.619,-6.922,0,0.0542,0.263,0.00317,0.0889,0.614,103.041,4,afrobeat,
1030,3EYGVS7euI1GTiYkKBOSfk,Juanafé,La Makinita,Tengo Luquita,45,223600,FALSE,0.526,0.711,-4.373,0,0.0465,0.585,0,0.0728,0.651,176.27,4,afrobeat,
1031,5Xv3XHAt8gkT6hVDXZGcuG,Criolo,Viva Tim Maia,Primavera (Vai Chuva),41,244533,FALSE,0.573,0.859,-4.346,1,0.0473,0.108,3.04E-05,0.0779,0.521,147.906,4,afrobeat,
1032,2e1FJPgVRQZFT53QKUR7BD,Criolo;Emicida,Criolo E Emicida Ao Vivo (Live),A Cada Vento - Live,41,243373,FALSE,0.651,0.861,-6.625,0,0.109,0.43,0,0.981,0.8,98.474,4,afrobeat,
1033,2anpZSamsEnNY7v1ScOkhJ,Samuca e a Selva,Madurar,Detergente,36,327836,FALSE,0.721,0.741,-6.597,1,0.0354,0.441,0.00849,0.0775,0.977,131.001,4,afrobeat,
1034,0gKBYJ8xmhWjpBzlPPKUoj,Criolo,Espiral de Ilusão,Nas Águas,41,235560,FALSE,0.753,0.653,-5.511,1,0.0508,0.76,8.56E-06,0.0756,0.706,115.802,4,afrobeat,
1035,3A4Y4uYIIt7VoSugv1OELL,Criolo,Convoque Seu Buda,Plano de Voo,41,218880,FALSE,0.571,0.69,-8.18,0,0.542,0.299,0,0.103,0.228,155.991,4,afrobeat,
1036,6gUUERbRME9MKaAMIAa1I3,Juanafé,La Makinita,Chiquitita,46,284875,FALSE,0.715,0.556,-6.102,1,0.0453,0.667,0,0.132,0.902,87.973,4,afrobeat,
1037,5XJMVJoq9otQBf2lMbxagJ,Criolo,Nó na Orelha,Freguês da Meia Noite,39,249600,FALSE,0.634,0.393,-9.583,1,0.0283,0.35,0.000987,0.151,0.54,87.996,4,afrobeat,
1038,1NF3eG2IpxKzR3jqMdR60O,Criolo,Espiral de Ilusão,Hora da Decisão,37,248520,FALSE,0.731,0.575,-6.252,0,0.041,0.703,0,0.121,0.704,143.986,4,afrobeat,
1039,2zQt5C0AIv27RhfJCRZdZ4,BaianaSystem,Duas Cidades,"Jah Jah Revolta, Pt. 2",39,309493,FALSE,0.776,0.8,-4.704,0,0.0438,0.00631,0.0731,0.35,0.583,143.989,4,afrobeat,
1040,4kSYNMfWnruGsc9knR15xV,BaianaSystem,Duas Cidades,Dia da Caça,38,269986,FALSE,0.486,0.867,-5.237,1,0.0892,0.129,0.00176,0.0731,0.358,109.003,4,afrobeat,
1041,0d23nai9JamDpc48xhyeRt,Criolo,Convoque Seu Buda,Fio de Pumo (Padê Onã),42,249960,FALSE,0.77,0.819,-6.487,1,0.0703,0.0191,0.0133,0.377,0.732,92.996,4,afrobeat,
1042,6nFxTIa7abSSk8GzZFO1zB,Criolo,Convoque Seu Buda,Pegue Pra Ela,37,265200,FALSE,0.611,0.738,-7.341,0,0.0443,0.142,0.00837,0.0575,0.725,119.791,4,afrobeat,
1043,2CTzBqhD3xitdqHzEaGoiz,Criolo,Espiral de Ilusão,Filha do Maneco,37,105360,FALSE,0.674,0.518,-6.658,1,0.0806,0.733,3.81E-06,0.085,0.554,133.935,5,afrobeat,
1044,7oSCgig81QrE0hr6weiwgc,Criolo,Espiral de Ilusão,Cria de Favela,36,171480,FALSE,0.692,0.749,-4.948,1,0.0427,0.442,7.13E-05,0.132,0.7,111.986,4,afrobeat,
1045,0Hr2RaY7XnE0Qj7ljHGfMw,Criolo,Espiral de Ilusão,Boca Fofa,36,140280,FALSE,0.717,0.784,-5.138,0,0.0353,0.73,0.0126,0.0851,0.978,168.146,4,afrobeat,
1046,4BKI37hGrod94ofXtVycYL,Criolo,Espiral de Ilusão,Calçada,37,206760,FALSE,0.817,0.771,-5.132,1,0.087,0.704,0,0.0885,0.76,111.099,4,afrobeat,
1047,6F4zAdEznwkmn8MHJtcjtT,Criolo;Emicida,Criolo E Emicida Ao Vivo (Live),Zica Vai Lá - Live,35,238346,FALSE,0.374,0.934,-5.322,1,0.322,0.058,0,0.804,0.389,167.661,4,afrobeat,
1048,7bLMLwx6gJrCXoppD2YqOu,Criolo;Emicida,Criolo E Emicida Ao Vivo (Live),Subirusdoistiozin - Live,37,211280,FALSE,0.569,0.907,-5.619,0,0.31,0.602,4.35E-05,0.862,0.562,94.346,4,afrobeat,
1049,5uCb2bQ9HcCY3c7kLq4Iur,Jackie Mittoo,The Keyboard King at Studio One,Darker Shade of Black,40,194293,FALSE,0.689,0.564,-7.276,1,0.126,0.149,0.941,0.0909,0.758,87.474,4,afrobeat,
1050,7cPCyF7ABaT1Te3LUA5jzE,Pompi,Ahetuk,Meghar Jolonga,25,205597,FALSE,0.353,0.548,-5.391,0,0.0332,0.709,0,0.664,0.67,200.152,4,afrobeat,
2001,2Y0iGXY6m6immVb2ktbseM,MGMT,Little Dark Age,Little Dark Age,83,299960,FALSE,0.705,0.712,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4,alt-rock,
2002,2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Softcore,86,206280,FALSE,0.575,0.568,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4,alt-rock,
2003,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,93,240400,FALSE,0.612,0.807,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,alt-rock,
2004,7zwn1eykZtZ5LODrf7c0tS,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,You Get Me So High,83,153000,FALSE,0.551,0.881,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,4,alt-rock,
2005,7vguMCv8uVuZLiQJ156u3Z,Sam Tinnesz;Yacht Money,Play with Fire (feat. Yacht Money),Play with Fire (feat. Yacht Money),76,180690,FALSE,0.573,0.539,-6.091,0,0.0322,0.0162,1.16E-05,0.105,0.39,75.012,4,alt-rock,
2006,4gHnSNHs8RyVukKoWdS99f,Nirvana,Nevermind (Remastered),Something In The Way,76,232146,FALSE,0.427,0.201,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4,alt-rock,
2007,0y1QJc3SJVPKJ1OvFmFqe6,KALEO,A/B,Way down We Go,78,213706,FALSE,0.489,0.505,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,4,alt-rock,
2008,6rrKbzJGGDlSZgLphopS49,The Score,ATLAS,Unstoppable,73,192106,FALSE,0.485,0.843,-3.993,0,0.0467,0.00129,1.01E-05,0.14,0.602,78.001,4,alt-rock,
2009,4CeeEOM32jQcH3eN9Q2dGj,Nirvana,Nevermind (Remastered),Smells Like Teen Spirit,83,301920,FALSE,0.502,0.912,-4.556,1,0.0564,2.55E-05,0.000173,0.106,0.72,116.761,4,alt-rock,
2010,0AUyNF6iFxMNQsNx2nhtrw,grandson,Blood // Water,Blood // Water,75,216720,FALSE,0.51,0.882,-5.659,0,0.159,0.00158,0.00206,0.0764,0.653,154.029,4,alt-rock,
2011,4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,TALKING IS HARD,Shut Up and Dance,83,199080,FALSE,0.578,0.866,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,4,alt-rock,
2012,7uCBGNn991AM68fR4tSDco,The Score,Carry On,Born For This,69,237375,FALSE,0.411,0.675,-6.251,0,0.0591,0.063,0,0.092,0.545,130.134,4,alt-rock,
2013,6QvYmrqFKRSVrcVgvoA7Ar,Red Hot Chili Peppers,All That Really Matters - Just Hits,Tippa My Tongue,4,260808,FALSE,0.573,0.913,-6.52,0,0.0409,0.00861,0.0273,0.114,0.795,88.418,4,alt-rock,
2014,75fT19n6ZQHr67Mkh86qfD,Red Hot Chili Peppers,Rock Brandneu,Tippa My Tongue,2,260808,FALSE,0.573,0.913,-6.52,0,0.0409,0.00861,0.0273,0.114,0.795,88.418,4,alt-rock,
2015,23PvWFdi76vER4p1e2Xroj,The Killers,Workout Hits 2023,Mr. Brightside,2,223973,FALSE,0.344,0.931,-3.759,1,0.0783,0.00104,0,0.0903,0.251,148.104,4,alt-rock,
2016,2AEdT2ZKd14kzOouzdNOUj,Red Hot Chili Peppers,OK Boomers - Top Tunes,Californication,2,329733,FALSE,0.592,0.765,-2.788,0,0.027,0.0021,0.00154,0.127,0.327,96.483,4,alt-rock,
2017,4xnB2yGAeXOuR3kJ9KTD3b,Red Hot Chili Peppers,Rock Brandneu,Nerve Flip,0,186148,FALSE,0.386,0.936,-4.005,1,0.0701,0.0121,1.60E-05,0.266,0.418,176.366,4,alt-rock,
2018,1yZWmKmLfTrFCxHvhFsdoN,The Killers;Phoebe Bridgers,The Greatest Rock Tunes 2022,Runaway Horses - Abridged,0,204466,FALSE,0.499,0.223,-15.253,1,0.0338,0.912,0,0.0962,0.304,129.291,5,alt-rock,
2019,5xUhs6dlfkcxZM8zq7riYF,Red Hot Chili Peppers,Tek It - New Noise,Black Summer,1,232412,FALSE,0.417,0.682,-5.071,1,0.0295,0.0267,0.000669,0.109,0.351,105.542,4,alt-rock,
2020,34ldTowcv56E2DqtSaYBjP,The Killers,OO's Music Grandi Successi,When You Were Young,5,220413,FALSE,0.441,0.976,-3.09,0,0.147,0.000335,0.0475,0.298,0.248,130.411,4,alt-rock,
2021,62pennq1pcVBFVW1b1CrFu,Red Hot Chili Peppers,Top of the Rock,Nerve Flip,0,186148,FALSE,0.386,0.936,-4.005,1,0.0701,0.0121,1.60E-05,0.266,0.418,176.366,4,alt-rock,
